Benchmark,Size,Solver,Solver Version,Solver Release Year,Status,Termination Condition,Runtime (s),Memory Usage (MB),Objective Value,Max Integrality Violation,Duality Gap,Reported Runtime (s),Timeout,Hostname,Run ID,Timestamp,VM Instance Type,VM Zone,Solver benchmark version,bench-size,solver-version
pypsa-de-elec,26-1h,highs-ipm,1.12.0-hipo,2025,TO,Timeout,86400,163.076,,,,86400,86400,benchmark-instance-all-pypsa-de-sizes-02,20260211-all-pypsa-de-sizes,2026-02-12 13:38:44.213721,c4-standard-8,us-central1-a,7b54a96,pypsa-de-elec-26-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,28-1h,gurobi,13.0.0,2025,ok,optimal,1216.890080896,15843.304,5723040376.73893,,,1169.36505079269,86400,benchmark-instance-more-pypsa-de-sizes-04,20260216-more-pypsa-de-sizes,2026-02-16 19:02:19.715007,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-28-1h,gurobi-13.0.0
pypsa-de-elec,28-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,29633.322487094,13188.688,5723040376.8,,,29633.322487094,86400,benchmark-instance-more-pypsa-de-sizes-04,20260216-more-pypsa-de-sizes,2026-02-16 19:27:05.012765,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-28-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,30-1h,gurobi,13.0.0,2025,ok,optimal,1177.178299913,15897.028,6028239537.21114,,,1125.58191394806,86400,benchmark-instance-more-pypsa-de-sizes-03,20260216-more-pypsa-de-sizes,2026-02-16 19:01:59.234439,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-30-1h,gurobi-13.0.0
pypsa-de-elec,30-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,23323.961776753,13571.74,6028239537.2,,,23323.961776753,86400,benchmark-instance-more-pypsa-de-sizes-03,20260216-more-pypsa-de-sizes,2026-02-16 19:26:10.226150,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-30-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,32-1h,gurobi,13.0.0,2025,ok,optimal,1334.43468184,15934.484,6001000116.38625,,,1280.6346988678,86400,benchmark-instance-more-pypsa-de-sizes-02,20260216-more-pypsa-de-sizes,2026-02-16 19:01:58.600300,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-32-1h,gurobi-13.0.0
pypsa-de-elec,32-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,10242.493040009,14355.424,6001000116.4,,,10242.493040009,86400,benchmark-instance-more-pypsa-de-sizes-02,20260216-more-pypsa-de-sizes,2026-02-16 19:29:06.989284,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-32-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,34-1h,gurobi,13.0.0,2025,ok,optimal,1768.291200769,17418.94,5612617031.70125,,,1713.44354891777,86400,benchmark-instance-more-pypsa-de-sizes-01,20260216-more-pypsa-de-sizes,2026-02-16 19:01:43.941391,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-34-1h,gurobi-13.0.0
pypsa-de-elec,34-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,22588.351812842,15363.54,5612617031.7,,,22588.351812842,86400,benchmark-instance-more-pypsa-de-sizes-01,20260216-more-pypsa-de-sizes,2026-02-16 19:35:46.489042,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-34-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,36-1h,gurobi,13.0.0,2025,ok,optimal,1902.13960068,17222.768,5582545917.21112,,,1851.01886487007,86400,benchmark-instance-more-pypsa-de-sizes-00,20260216-more-pypsa-de-sizes,2026-02-16 19:01:36.464849,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-36-1h,gurobi-13.0.0
pypsa-de-elec,36-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,41258.344584945,16393.028,5582545917.2,,,41258.344584945,86400,benchmark-instance-more-pypsa-de-sizes-00,20260216-more-pypsa-de-sizes,2026-02-16 19:37:24.166071,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-36-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,38-1h,gurobi,13.0.0,2025,ok,optimal,2104.797180521,19562.64,5782822646.65221,,,2039.2865819931,86400,benchmark-instance-more-pypsa-de-sizes-01,20260217-more-pypsa-de-sizes,2026-02-17 17:19:00.003171,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-38-1h,gurobi-13.0.0
pypsa-de-elec,38-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,40117.336971626,17138.764,5782822646.7,,,40117.336971626,86400,benchmark-instance-more-pypsa-de-sizes-01,20260217-more-pypsa-de-sizes,2026-02-17 17:58:53.162715,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-38-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,4-1h,cbc,2.10.12,2024,ok,optimal,8172.813326618,1535.592,5688124913.36147,,,,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260226-all-pypsa-de-small-sizes,2026-02-26 11:30:01.521394,c4-standard-8,us-central1-a,7441595,pypsa-de-elec-4-1h,cbc-2.10.12
pypsa-de-elec,4-1h,cplex,22.1.2.0,2025,ok,optimal,24.719463259,4291.428,5688125299.67878,,,1779956114.73809,86400,benchmark-instance-pypsa-de-elec-2-through-20-1h-cplex-08,20260428-pypsa-de-elec-2-through-20-1h-cplex,2026-05-28 08:14:49.459367,c4-highmem-8,us-central1-a,65bc512,pypsa-de-elec-4-1h,
pypsa-de-elec,4-1h,gurobi,13.0.0,2025,ok,optimal,34.7419631119992,3014.716,5688124913.36159,,,26.0907471179962,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260226-all-pypsa-de-small-sizes,2026-02-26 14:16:25.993772,c4-standard-8,us-central1-a,7441595,pypsa-de-elec-4-1h,gurobi-13.0.0
pypsa-de-elec,4-1h,highs,1.12.0,2025,ok,optimal,709.638722398,2946.692,5688124913.3615,,,700.074035644531,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260226-all-pypsa-de-small-sizes,2026-02-26 15:13:23.770576,c4-standard-8,us-central1-a,7441595,pypsa-de-elec-4-1h,highs-1.12.0
pypsa-de-elec,4-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,345.58819954,2033.904,5688124913.4,,,345.58819954,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260226-all-pypsa-de-small-sizes,2026-02-26 14:20:53.338890,c4-standard-8,us-central1-a,7441595,pypsa-de-elec-4-1h,highs-hipo-1.12.0-hipo
pypsa-de-elec,4-1h,highs-ipm,1.12.0-hipo,2025,ok,Optimal,2803.243807908,1517.104,5688124914.5,,,2803.243807908,86400,benchmark-instance-all-pypsa-de-small-sizes-00,20260226-all-pypsa-de-small-sizes,2026-02-26 14:26:39.716803,c4-standard-8,us-central1-a,7441595,pypsa-de-elec-4-1h,highs-ipm-1.12.0-hipo
pypsa-de-elec,40-1h,gurobi,13.0.0,2025,ok,optimal,1678.951971464,19150.396,5735217560.82924,,,1610.5714199543,86400,benchmark-instance-more-pypsa-de-sizes-00,20260217-more-pypsa-de-sizes,2026-02-17 17:19:28.852327,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-40-1h,gurobi-13.0.0
pypsa-de-elec,40-1h,highs-hipo,1.12.0-hipo,2025,ok,Optimal,64162.390513894,18226.608,5735217560.8,,,64162.390513894,86400,benchmark-instance-more-pypsa-de-sizes-00,20260217-more-pypsa-de-sizes,2026-02-17 17:52:30.093927,c4-standard-8,us-central1-a,0a76d2f,pypsa-de-elec-40-1h,highs-hipo-1.12.0-hipo
