bench-size,solver-version,Runtime (s),Reported Runtime (s),runtime-difference,runtime-difference-%,Num. variables,Num. constraints,bench-size-category
pypsa-power+ely-ucgas-mod-1-1h,cbc-2.10.12,37.06458914199902,35.61,1.4545891419990227,3.924471242420392,87607,157687,M
DCOPF-Carolinas_2M-997-1h,gurobi-12.0.0,6.05015421299322,4.745430946350098,1.3047232666431228,21.565124139168528,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-1.9.0,11.120623829003309,9.625344514846802,1.495279314156507,13.446002105176163,122017,199255,M
DCOPF-Carolinas_2M-997-1h,scip-9.2.0,99.72002910499576,98.513563,1.206466104995755,1.2098533422262243,122017,199255,M
genx-6_three_zones_w_multistage-3-1h,gurobi-13.0.0,20.4788001380075,19.82362699508667,0.6551731429208303,3.1992750478816667,127636,171944,M
genx-6_three_zones_w_multistage-3-1h,highs-1.12.0,2839.0542244690005,2838.291220664978,0.7630038040224463,0.02687528112166135,127636,171944,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,gurobi-13.0.0,11.937211618991569,11.219907999038696,0.7173036199528724,6.008971297883959,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-hipo-1.12.0-hipo,32.176251463999506,32.176251463999506,0.0,0.0,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-ipx-1.12.0-hipo,26.033170553011587,26.033170553011587,0.0,0.0,78851,78851,M
OEMOF-v4-invest-optimize-all-technologies-with-fossil-share-1-8760ts,highs-1.12.0,12.214861924992874,11.455631256103516,0.7592306688893586,6.21563038167377,78851,78851,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,gurobi-13.0.0,76.07084562000819,75.9809901714325,0.08985544857569039,0.11812074368745622,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,highs-1.12.0,1825.5105508809795,1825.4018273353577,0.10872354562184228,0.005955788399545157,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day332-73-1h,scip-10.0.0,1242.9002462060016,1242.754051,0.1461952060017211,0.011762424735853684,19392,25080,M
times-nz-kea-2-24ts,gurobi-13.0.0,387.0715339110175,381.8101840019226,5.261349909094918,1.359270689821492,202797,300078,M
times-nz-kea-2-24ts,highs-1.12.0,173.06942575299763,171.175954580307,1.8934711726906244,1.0940529584890177,202797,300078,M
times-nz-kea-2-24ts,scip-10.0.0,2890.6324110150163,2888.670593,1.9618180150164335,0.06786812489684778,202797,300078,M
pypsa-power+ely-ucgas-mod-1-1h,gurobi-13.0.0,13.366190706001362,12.75356411933899,0.6126265866623726,4.583404502730205,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,highs-1.12.0,61.23476510800538,60.52063274383545,0.7141323641699273,1.1662204679161363,87607,157687,M
pypsa-power+ely-ucgas-mod-1-1h,scip-10.0.0,107.62485875998392,106.836851,0.7880077599839268,0.7321800642185061,87607,157687,M
DCOPF-Carolinas_2M-997-1h,gurobi-13.0.0,5.946596538997255,4.803076982498169,1.1435195564990863,19.22981572736583,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-hipo-1.12.0-hipo,32.074555030994816,32.074555030994816,0.0,0.0,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-ipx-1.12.0-hipo,11.524414587009232,11.524414587009232,0.0,0.0,122017,199255,M
DCOPF-Carolinas_2M-997-1h,highs-1.12.0,11.099860721005824,9.587732791900637,1.512127929105187,13.622945072126672,122017,199255,M
DCOPF-Carolinas_2M-997-1h,scip-10.0.0,99.43379897400156,98.180169,1.253629974001555,1.2607684579459095,122017,199255,M
Sienna_modified_RTS_GMLC_DA_sys_NetTransport_Horizon48_Day29-73-1h,gurobi-10.0.0,403.34237828999903,402.97338700294495,0.36899128705408657,0.09148339150933098,35280,39168,M
SWITCH-3-zone-toy-3-6ts,gurobi-10.0.0,0.1551065829989966,0.0044851303100585,0.1506214526889381,97.10835592962064,618,775,S
SWITCH-3-zone-toy-3-6ts,highs-1.5.0.dev0,0.0092644089963869,0.0028972625732421,0.0063671464231448,68.72695738743802,618,775,S
SWITCH-3-zone-toy-3-6ts,scip-8.0.3,0.0175590620056027,0.009537,0.008022062005602699,45.686164802214606,618,775,S
pglib_opf_case1951_rte-1951-NA,gurobi-10.0.0,487.4714869569944,487.4053020477295,0.06618490926490495,0.01357718575050604,7509,17528,S
pglib_opf_case1951_rte-1951-NA,scip-8.0.3,465.8363440250032,465.717283,0.11906102500319093,0.025558552167582804,7509,17528,S
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,gurobi-10.0.0,58.56328428500274,58.29575705528259,0.26752722972014453,0.4568173267370092,19392,25080,M
Sienna_modified_RTS_GMLC_DA_sys_NetDC_Horizon24_Day29-73-1h,highs-1.5.0.dev0,650.4290843510025,650.2701141834259,0.1589701675766264,0.024440814748505086,19392,25080,M
